region,day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,Classes
Bejaia,7,9,2012,31,71,17,0.3,69.6,3.2,not fire
Bejaia,8,9,2012,30,73,17,0.9,62,2.6,not fire
Bejaia,9,9,2012,30,77,15,1,56.1,2.1,not fire
Bejaia,10,9,2012,33,73,12,1.8,59.9,2.2,not fire
Bejaia,11,9,2012,30,77,21,1.8,58.5,1.9,not fire
Bejaia,12,9,2012,29,88,13,0,71,2.6,not fire
Bejaia,13,9,2012,25,86,21,4.6,40.9,1.3,not fire
Bejaia,14,9,2012,22,76,26,8.3,47.4,1.1,not fire
Bejaia,15,9,2012,24,82,15,0.4,44.9,0.9,not fire
Bejaia,16,9,2012,30,65,14,0,78.1,3.2,not fire
Bejaia,17,9,2012,31,52,14,0,87.7,6.4,fire
Bejaia,18,9,2012,32,49,11,0,89.4,9.8,fire
Bejaia,19,9,2012,29,57,14,0,89.3,12.5,fire
Bejaia,20,9,2012,28,84,18,0,83.8,13.5,fire
Bejaia,21,9,2012,31,55,11,0,87.8,16.5,fire
Bejaia,22,9,2012,31,50,19,0.6,77.8,10.6,not fire
Bejaia,23,9,2012,32,54,11,0.5,73.7,7.9,not fire
Bejaia,24,9,2012,29,65,19,0.6,68.3,5.5,not fire
Bejaia,25,9,2012,26,81,21,5.8,48.6,3,not fire
Bejaia,26,9,2012,31,54,11,0,82,6,not fire
Bejaia,27,9,2012,31,66,11,0,85.7,8.3,fire
Bejaia,28,9,2012,32,47,14,0.7,77.5,7.1,not fire
Bejaia,29,9,2012,26,80,16,1.8,47.4,2.9,not fire
Bejaia,30,9,2012,25,78,14,1.4,45,1.9,not fire
Sidi-Bel Abbes,1,6,2060,32,71,12,0.7,57.1,2.5,not fire
Sidi-Bel Abbes,2,6,2060,30,73,13,4,55.7,2.7,not fire
Sidi-Bel Abbes,3,6,2060,29,80,14,2,48.7,2.2,not fire
Sidi-Bel Abbes,4,6,2060,30,64,14,0,79.4,5.2,not fire
Sidi-Bel Abbes,5,6,2060,3200,60,14,0.2,77.1,6,not fire
Sidi-Bel Abbes,6,6,2060,35,54,11,0.1,83.7,8.4,fire
Sidi-Bel Abbes,7,6,2060,35,44,17,0.2,85.6,9.9,fire
Sidi-Bel Abbes,8,6,2060,28,51,17,1.3,71.4,7.7,not fire
Sidi-Bel Abbes,9,6,2060,27,59,18,0.1,78.1,8.5,not fire
Sidi-Bel Abbes,10,6,2060,30,41,15,0,89.4,13.3,fire
Sidi-Bel Abbes,11,6,2060,31,42,21,0,90.6,18.2,fire
Sidi-Bel Abbes,12,6,2060,27,58,17,0,88.9,21.3,fire
Sidi-Bel Abbes,13,6,2012,30,52,15,2,72.3,11.4,not fire
Sidi-Bel Abbes,14,6,2012,27,79,16,0.7,53.4,6.4,not fire
Sidi-Bel Abbes,15,6,2012,28,90,15,0,66.8,7.2,not fire
Sidi-Bel Abbes,16,6,2012,29,87,15,0.4,47.4,4.2,not fire
Sidi-Bel Abbes,17,6,2012,31,69,17,4.7,62.2,3.9,not fire
Sidi-Bel Abbes,18,6,2012,33,620,10,8.7,65.5,4.6,not fire
Sidi-Bel Abbes,19,6,2012,32,67,14,4.5,64.6,4.4,not fire
Sidi-Bel Abbes,20,6,2012,31,72,14,0.2,60.2,3.8,not fire
Sidi-Bel Abbes,21,6,2012,32,55,14,0,86.2,8.3,fire
Sidi-Bel Abbes,22,6,2012,33,46,14,1.1,78.3,8.1,not fire
Sidi-Bel Abbes,23,6,2012,33,59,16,0.8,74.2,7,not fire
Sidi-Bel Abbes,24,6,2012,35,68,16,0,85.3,10,fire
Sidi-Bel Abbes,25,6,2012,34,70,16,0,86,12.8,fire
Sidi-Bel Abbes,26,6,2012,36,62,16,0,87.8,16.5,fire
Sidi-Bel Abbes,27,6,2012,36,55,15,0,89.1,20.9,fire
Sidi-Bel Abbes,28,6,2012,37,-37,13,0,92.5,27.2,fire
Sidi-Bel Abbes,29,6,2012,37,36,13,0.6,86.2,17.9,fire
Sidi-Bel Abbes,30,6,2012,34,42,15,1.7,79.7,12,not fire
Sidi-Bel Abbes,1,7,2012,28,58,18,2.2,63.7,3.2,not fire
Sidi-Bel Abbes,2,7,2012,33,48,16,0,87.6,7.9,fire
Sidi-Bel Abbes,3,7,2012,34,56,17,0.1,84.7,9.7,fire
Sidi-Bel Abbes,4,7,2012,34,58,18,0,88,13.6,fire
Sidi-Bel Abbes,5,7,2012,34,45,18,0,90.5,18.7,fire
Sidi-Bel Abbes,6,7,2012,35,42,15,0.3,84.7,15.5,fire
Sidi-Bel Abbes,7,7,2012,38,43,13,0.5,85,13,fire
Sidi-Bel Abbes,8,7,2012,35,47,18,6,80.8,9.8,fire
Sidi-Bel Abbes,9,7,2012,36,43,15,1.9,82.3,9.4,fire
Sidi-Bel Abbes,10,7,2012,34,51,16,3.8,77.5,8,not fire
Sidi-Bel Abbes,11,7,2012,34,56,15,2.9,74.8,7.1,not fire
Sidi-Bel Abbes,12,7,2012,36,44,13,0,90.1,12.6,fire
Sidi-Bel Abbes,13,7,2012,39,45,13,0.6,85.2,11.3,fire
Sidi-Bel Abbes,14,7,2012,37,37,18,0.2,88.9,12.9,fire
Sidi-Bel Abbes,15,7,2012,34,45,17,0,90.5,18,fire
Sidi-Bel Abbes,16,7,2012,31,83,1700,0,84.5,19.4,fire
Sidi-Bel Abbes,17,7,2012,32,81,17,0,84.6,21.1,fire
Sidi-Bel Abbes,18,7,2012,33,68,15,0,86.1,23.9,fire
Sidi-Bel Abbes,19,7,2012,34,58,16,0,88.1,27.8,fire
Sidi-Bel Abbes,20,7,2012,36,50,16,0,89.9,32.7,fire
Sidi-Bel Abbes,21,7,2012,36,29,18,0,93.9,39.6,fire
Sidi-Bel Abbes,22,7,2012,32,48,18,0,91.5,44.2,fire
Sidi-Bel Abbes,23,7,2012,31,71,17,0,87.3,46.6,fire
Sidi-Bel Abbes,24,7,2012,33,63,17,1.1,72.8,20.9,not fire
Sidi-Bel Abbes,25,7,2012,39,64,9,1.2,73.8,11.7,not fire
Sidi-Bel Abbes,26,7,2012,35,58,10,0.2,78.3,10.8,not fire
Sidi-Bel Abbes,27,7,2012,29,87,18,0,80,11.8,not fire
Sidi-Bel Abbes,28,7,2012,33,57,16,0,87.5,15.7,fire
Sidi-Bel Abbes,29,7,2012,34,59,16,0,88.1,19.5,fire
Sidi-Bel Abbes,30,7,2012,36,56,16,0,88.9,23.8,fire
Sidi-Bel Abbes,31,7,2012,37,55,15,0,89.3,28.3,fire
Sidi-Bel Abbes,1,8,2012,38,52,14,0,78.3,4.4,not fire
Sidi-Bel Abbes,2,8,2012,40,34,14,0,93.3,10.8,fire
Sidi-Bel Abbes,3,8,2012,39,33,17,0,93.7,17.1,fire
Sidi-Bel Abbes,4,8,2012,-800,35,15,0,93.8,23,fire
Sidi-Bel Abbes,5,8,2012,34,42,17,0.1,88.3,23.6,fire
Sidi-Bel Abbes,6,8,2012,30,54,14,3.1,70.5,11,not fire
Sidi-Bel Abbes,7,8,2012,34,63,13,2.9,69.7,7.2,not fire
Sidi-Bel Abbes,8,8,2012,37,56,11,0,87.4,11.2,fire
Sidi-Bel Abbes,9,8,2012,39,430,12,0,91.7,16.5,fire
Sidi-Bel Abbes,10,8,2012,39,-39,15,0.2,89.3,15.8,fire
Sidi-Bel Abbes,11,8,2012,40,31,15,0,94.2,22.5,fire
Sidi-Bel Abbes,12,8,2012,39,21,17,0.4,93,18.4,fire
Sidi-Bel Abbes,13,8,2012,35,34,16,0.2,88.3,16.9,fire
Sidi-Bel Abbes,14,8,2012,37,40,13,0,91.9,22.3,fire
Sidi-Bel Abbes,15,8,2012,35,46,-13,0.3,83.9,16.9,fire
Sidi-Bel Abbes,16,8,2012,40,41,10,0.1,92,22.6,fire
Sidi-Bel Abbes,17,8,2012,42,24,9,0,96,30.3,fire
Sidi-Bel Abbes,18,8,2012,37,37,14,0,94.3,35.9,fire
Sidi-Bel Abbes,19,8,2012,35,66,15,0.1,82.7,32.7,fire
Sidi-Bel Abbes,20,8,2012,36,81,15,0,83.7,34.4,fire
Sidi-Bel Abbes,21,8,2012,36,71,15,0,86,36.9,fire
Sidi-Bel Abbes,22,8,2012,37,53,14,0,89.5,41.1,fire
Sidi-Bel Abbes,23,8,2012,36,43,16,0,91.2,46.1,fire
Sidi-Bel Abbes,24,8,2012,35,38,15,0,92.1,51.3,fire
Sidi-Bel Abbes,25,8,2012,34,40,18,0,92.1,56.3,fire
Sidi-Bel Abbes,26,8,2012,33,37,16,0,92.2,61.3,fire
Sidi-Bel Abbes,27,8,2012,36,54,14,0,91,65.9,fire
Sidi-Bel Abbes,28,8,2012,35,56,14,0.4,79.2,37,not fire
Sidi-Bel Abbes,29,8,2012,35,53,17,0.5,80.2,20.7,fire
Sidi-Bel Abbes,30,8,2012,34,49,15,0,89.2,24.8,fire
Sidi-Bel Abbes,31,8,2012,30,59,19,0,89.1,27.8,fire
Sidi-Bel Abbes,1,9,2012,29,86,16,0,37.9,0.9,not fire
Sidi-Bel Abbes,2,9,2012,28,67,19,0,75.4,2.9,not fire
Sidi-Bel Abbes,3,9,2012,28,75,16,0,82.2,4.4,fire
Sidi-Bel Abbes,4,9,2012,30,66,15,0.2,73.5,4.1,not fire
Sidi-Bel Abbes,5,9,2012,30,58,12,4.1,66.1,4,not fire
Sidi-Bel Abbes,6,9,2012,34,71,14,6.5,64.5,3.3,not fire
Sidi-Bel Abbes,7,9,2012,31,62,15,0,83.3,5.8,fire
Sidi-Bel Abbes,8,9,2012,30,88,14,0,82.5,6.6,fire
Sidi-Bel Abbes,9,9,2012,30,80,15,0,83.1,7.9,fire
Sidi-Bel Abbes,10,9,2012,29,74,15,1.1,59.5,4.7,not fire
Sidi-Bel Abbes,11,9,2012,30,73,14,0,79.2,6.5,not fire
Sidi-Bel Abbes,12,9,2012,31,72,14,0,84.2,8.3,fire
Sidi-Bel Abbes,13,9,2012,-138,49,19,0,88.6,11.5,fire
Sidi-Bel Abbes,14,9,2012,28,81,15,0,84.6,12.6,fire
Sidi-Bel Abbes,15,9,2012,32,51,13,0,88.7,16,fire
Sidi-Bel Abbes,16,9,2012,33,26,13,0,93.9,21.2,fire
Sidi-Bel Abbes,17,9,2012,34,44,12,0,92.5,25.2,fire
Sidi-Bel Abbes,18,9,2012,36,33,13,0.1,90.6,25.8,fire
Sidi-Bel Abbes,19,9,2012,29,41,8,0.1,83.9,24.9,fire
Sidi-Bel Abbes,20,9,2012,34,58,13,0.2,79.5,18.7,not fire
Sidi-Bel Abbes,21,9,2012,35,34,17,0,92.2,23.6,fire
Sidi-Bel Abbes,22,9,2012,3300,64,1300,0,88.9,26.1,fire
Sidi-Bel Abbes,23,9,2012,35,56,14,0,89,29.4,fire
Sidi-Bel Abbes,24,9,2012,26,49,6,2,61.3,11.9,not fire
Sidi-Bel Abbes,25,9,2012,28,70,15,0,79.9,13.8,not fire
Sidi-Bel Abbes,26,9,2012,30,65,14,0,85.4,16,fire
Sidi-Bel Abbes,27,9,2012,28,87,15,4.4,41.1,6.5,not fire
Sidi-Bel Abbes,28,9,2012,27,87,29,0.5,45.9,3.5,not fire
Sidi-Bel Abbes,29,9,2012,24,54,18,0.1,79.7,4.3,not fire
Sidi-Bel Abbes,30,9,2012,24,64,15,0.2,67.3,3.8,not fire
Sidi-Bel Abbes,23,2,2025,25,63,15,0,75.6,5,not fire
